,Thème,Question,A,B,C,D,Bonne réponse
👛 Gestion financière personnelle,Définir des objectifs financiers,Quels objectifs doivent être prioritaires ?,Ceux liés au plaisir,Ceux qui sont urgents et essentiels,Ceux proposés par les amis,Ceux basés sur les réseaux sociaux,B
👛 Gestion financière personnelle,Définir des objectifs financiers,L’ajustement d’un objectif est utile quand :,Il est trop simple,Il est irréaliste,Il est à long terme,Il est motivant,B
👛 Gestion financière personnelle,Définir des objectifs financiers,Quel type d’objectif est le plus motivant ?,Flou,Concret et réalisable,Ambitieux mais vague,Imposé,B
👛 Gestion financière personnelle,Définir des objectifs financiers,Quels critères caractérisent un bon objectif financier ?,Mesurable et temporel,Aléatoire et fiscal,Virtuel et complexe,Indéfini et urgent,A
👛 Gestion financière personnelle,Définir des objectifs financiers,Quelle question se poser avant de définir un objectif ?,Quel est mon solde bancaire ?,Qu’ai-je mangé hier ?,Quel est mon projet et mon délai ?,Puis-je gagner à la loterie ?,C
👛 Gestion financière personnelle,Définir des objectifs financiers,Les objectifs à court terme sont généralement :,Moins chers et plus accessibles,Plus risqués,Inatteignables,Toujours liés à la retraite,A
👛 Gestion financière personnelle,Définir des objectifs financiers,Pourquoi noter ses objectifs ?,Pour les oublier,Pour les partager sur les réseaux,Pour les suivre et rester motivé,Pour faire plaisir à ses proches,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Qu’est-ce que l’effet boule de neige en finance ?,Un effet de réduction fiscale,Un effet d’accumulation grâce à l’épargne et aux intérêts composés,Un effet lié à l’inflation,Une chute des marchés,B
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Quel facteur favorise l’effet boule de neige ?,Retirer souvent son épargne,Investir dans des actions volatiles,Épargner régulièrement,Changer souvent de compte,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Les intérêts composés signifient :,Des intérêts ajoutés au capital et qui génèrent à leur tour des intérêts,Des intérêts fixes,Des intérêts payés en nature,Des intérêts déduits d’un prêt,A
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,L’épargne régulière est :,Moins efficace que l’épargne ponctuelle,Un moyen de lisser l’effort d’épargne,Réservée aux retraités,Uniquement utile en cas de crise,B
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Plus on commence tôt à épargner :,Moins c’est utile,Moins on gagne,Plus l’effet boule de neige est puissant,Plus on paye d’impôts,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Quel outil permet de programmer une épargne régulière ?,Virement automatique,Chèque mensuel,Carte bancaire,Paiement différé,A
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Un capital de départ élevé est :,Indispensable,Utile mais non obligatoire,Toujours nécessaire,Moins efficace que les intérêts,B
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Le rendement composé permet :,D’obtenir un revenu passif,D’augmenter l’effet de levier fiscal,D’augmenter la capitalisation sur le long terme,D’éviter les impôts,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Quel type de produit bénéficie de l’effet composé ?,Livret A,Action,Immobilier,Tous les placements avec capitalisation,D
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Épargner 100 €/mois pendant 20 ans permet :,De constituer un matelas sans intérêts,D’atteindre une somme fixe de 2000 €,De faire croître le capital grâce aux intérêts cumulés,De payer ses dettes,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Le principal avantage de l’épargne régulière est :,La fiscalité,L’effet de levier,La régularité et l’accumulation sur le temps,Les frais réduits,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Les intérêts simples sont :,Moins puissants que les composés sur le long terme,Supérieurs aux composés,Égaux à long terme,Garantis par l’État,A
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,L’accumulation d’épargne régulière est efficace grâce à :,La défiscalisation,La constance et les intérêts composés,L’assurance-vie uniquement,Le capital minimum requis,B
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Une personne qui commence à 20 ans aura :,Moins de rendement,Moins de capital,Un effet boule de neige plus long et puissant,Moins d’intérêts que quelqu’un de 40 ans,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Quelle habitude favorise l’effet boule de neige ?,Retirer souvent l’épargne,Investir irrégulièrement,Mettre de côté une somme fixe chaque mois,Changer de banque souvent,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Un intérêt annuel de 5 % sur 20 ans appliqué chaque année crée :,Un effet neutre,Un capital stable,Une croissance exponentielle,Un effet fiscal négatif,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,"Pour bénéficier de l’effet composé, il faut :",Épargner à taux variable,Réinvestir les gains,Éviter de capitaliser,Faire des retraits fréquents,B
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Un effet boule de neige est maximisé si :,On épargne peu mais longtemps,On place une grosse somme une fois,On ne suit pas ses placements,On retire dès le premier gain,A
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Quel placement ne permet pas de bénéficier de l’effet composé ?,Livret A,Plan d’épargne retraite,Compte courant sans intérêts,Assurance-vie en euros,C
👛 Gestion financière personnelle,L’effet boule de neige de l’épargne régulière,Quel comportement nuit à l’effet boule de neige ?,L’épargne automatique,Le retrait fréquent du capital,L’épargne mensuelle,La patience,B
👛 Gestion financière personnelle,Éviter le surendettement,Qu’est-ce que le surendettement ?,Avoir trop d’épargne,Avoir plus de dettes que de revenus disponibles,Payer ses factures à temps,Refuser un crédit,B
👛 Gestion financière personnelle,Éviter le surendettement,Quel est un signe de surendettement ?,Avoir un PEL,Utiliser fréquemment un découvert autorisé,Payer son loyer,Épargner 30 % de ses revenus,B
👛 Gestion financière personnelle,Éviter le surendettement,Comment éviter le surendettement ?,Faire des crédits à la consommation,Épargner avant de dépenser,Ignorer ses dettes,Refuser de faire un budget,B
👛 Gestion financière personnelle,Éviter le surendettement,Le taux d’endettement conseillé est :,"0,5","0,43","0,33","0,2",C
👛 Gestion financière personnelle,Éviter le surendettement,Un crédit renouvelable est :,Toujours préférable,Un type de prêt à surveiller,Une subvention d’État,Un livret d’épargne,B
👛 Gestion financière personnelle,Éviter le surendettement,Que faire en cas de difficulté à rembourser ?,Attendre un rappel,Cacher la situation,Contacter ses créanciers,Changer de banque,C
👛 Gestion financière personnelle,Éviter le surendettement,Le FICP est :,Un livret d’épargne,Un fichier des incidents de paiement,Une carte bancaire,Un taux d’intérêt,B
👛 Gestion financière personnelle,Éviter le surendettement,Une bonne gestion budgétaire permet :,D’éviter les impôts,D’éviter le surendettement,D’avoir plus de crédits,De moins travailler,B
👛 Gestion financière personnelle,Éviter le surendettement,Quel outil est utile pour éviter le surendettement ?,Plan de surendettement,Calculateur de budget,Livret A,Cryptomonnaie,B
👛 Gestion financière personnelle,Éviter le surendettement,"En cas de surendettement, on peut saisir :",La CAF,Le Trésor Public,La commission de surendettement,La banque centrale,C
👛 Gestion financière personnelle,Éviter le surendettement,Le crédit à la consommation est souvent :,Sans impact sur l’endettement,À utiliser avec prudence,Toujours avantageux,Réservé aux riches,B
👛 Gestion financière personnelle,Éviter le surendettement,La première cause de surendettement est souvent :,Une mauvaise santé,Un excès de placements,Une mauvaise gestion ou une perte de revenu,Une fiscalité élevée,C
👛 Gestion financière personnelle,Éviter le surendettement,L’allongement de la durée des prêts :,Réduit le coût total,Augmente le montant des mensualités,Réduit les mensualités mais augmente le coût total,Ne change rien,C
👛 Gestion financière personnelle,Éviter le surendettement,Le surendettement peut entraîner :,Un meilleur crédit,Des saisies et interdictions bancaires,Une hausse des revenus,Une exonération d’impôt,B
👛 Gestion financière personnelle,Éviter le surendettement,Un budget équilibré aide à :,Investir en Bourse,Éviter les dépenses utiles,Prévenir les situations de surendettement,Acheter une maison cash,C
👛 Gestion financière personnelle,Éviter le surendettement,Un emprunt doit être contracté :,Sans réflexion,En cas de coup de tête,Après évaluation de sa capacité de remboursement,Quand on voit une pub,C
👛 Gestion financière personnelle,Éviter le surendettement,Les crédits accumulés peuvent :,Améliorer la cote de crédit,Créer un effet de levier illimité,Mener au surendettement,Être tous gratuits,C
👛 Gestion financière personnelle,Éviter le surendettement,Une mensualité trop élevée signifie :,Un bon crédit,Un risque d’endettement,Une gestion parfaite,Une économie d’impôt,B
👛 Gestion financière personnelle,Éviter le surendettement,Un moyen de sortir du surendettement est :,Ignorer les courriers,Saisir la commission de surendettement,Demander une carte de crédit,Souscrire un prêt étudiant,B
👛 Gestion financière personnelle,Éviter le surendettement,Quelle habitude diminue le risque de surendettement ?,Faire un budget,Changer souvent de banque,Prendre plusieurs crédits,Éviter d’épargner,A
👛 Gestion financière personnelle,"Comprendre les taux d’intérêt (crédit, livret…)",Qu’est-ce qu’un taux d’intérêt ?,Une taxe,Un pourcentage appliqué à un emprunt ou une épargne,Une réduction de prix,Un revenu garanti,B
👛 Gestion financière personnelle,"Comprendre les taux d’intérêt (crédit, livret…)",Un taux fixe signifie :,Il peut varier chaque mois,Il est lié à la bourse,Il ne change pas pendant la durée du prêt,Il dépend du revenu,C
